id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,forecast_gain,fcst_greater_than_baseline,slope_val_acc,var_val_acc,gap_val_acc,last_train_acc,last_train_loss,last_val_acc,last_val_loss
87,512,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",29,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[200, 315]",triangular,2,<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.007882763777628862,0.0001,,512,True,kaiming_normal,cosine,{'T_max': 50},1131,"[1.4547470808029175, 1.552760124206543, 1.0482866764068604, 1.177883267402649, 0.7977455249539128, 0.7069678021801843, 0.6255229042636024, 0.499067273956758, 0.5153213804518735, 0.4700696078715501, 0.43980242052563917, 0.4237029467191961, 0.3816938070787324, 0.3588021115572364, 0.33459022941964645, 0.2992636162235781, 0.2830118963839831, 0.2631354458768059, 0.24689798184015133, 0.23575691777384944, 0.22565447019620075, 0.21112148951463125, 0.19796801548175239, 0.18339636355155595, 0.1730723983608186, 0.1644332228883825, 0.15579499212197132, 0.1566068900956048, 0.15926484855202336]","[0.2962962962962963, 0.5185185185185185, 0.5648148148148148, 0.4976851851851852, 0.6759259259259259, 0.6944444444444444, 0.7203703703703703, 0.7944444444444444, 0.7537037037037037, 0.7777777777777778, 0.8, 0.7962962962962963, 0.8185185185185185, 0.8314814814814815, 0.8351851851851851, 0.8592592592592593, 0.8703703703703703, 0.8814814814814815, 0.8888888888888888, 0.8944444444444445, 0.9055555555555556, 0.9055555555555556, 0.912962962962963, 0.9203703703703704, 0.9407407407407408, 0.9407407407407408, 0.9407407407407408, 0.9481481481481482, 0.9351851851851852]","[2.0156002044677734, 1.6027073860168457, 1.5803172588348389, 1.0588458776474, 0.8380488157272339, 0.758962869644165, 0.6437503099441528, 0.7178325653076172, 0.7399149537086487, 0.7299423813819885, 0.6844823360443115, 0.6435632705688477, 0.6724080443382263, 0.6652771830558777, 0.6391368508338928, 0.6225655674934387, 0.5710675120353699, 0.595850944519043, 0.6108013391494751, 0.5719914436340332, 0.6038928031921387, 0.5933075547218323, 0.5760111212730408, 0.561882495880127, 0.5699533820152283, 0.5965594053268433, 0.5390000343322754, 0.6404203772544861, 0.5840902328491211]","[0.47058823529411764, 0.45588235294117646, 0.4338235294117647, 0.5294117647058824, 0.6102941176470589, 0.625, 0.6985294117647058, 0.6838235294117647, 0.6838235294117647, 0.6544117647058824, 0.6838235294117647, 0.6985294117647058, 0.6617647058823529, 0.7058823529411765, 0.7279411764705882, 0.7058823529411765, 0.7720588235294118, 0.7205882352941176, 0.7058823529411765, 0.7794117647058824, 0.7132352941176471, 0.7647058823529411, 0.7720588235294118, 0.7720588235294118, 0.7720588235294118, 0.7647058823529411, 0.7647058823529411, 0.75, 0.7573529411764706]",[],[],0.7121463487418142,0.7573529411764706,0.0,False,0.009922654182780379,0.009301108007027388,0.07589285714285698,0.9351851851851852,0.15926484855202336,0.7573529411764706,0.5840902328491211
128,64,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",26,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0]","[27, 465, 444, 287, 49]",mutated,25,<class 'torch.nn.modules.activation.Tanh'>,0.1,<class 'torch.optim.adamw.AdamW'>,0.014653458430492297,1e-05,,64,False,xavier_normal,exponential,"{'gamma': 0.9, 'step_size': 5}",1183,"[1.3738664388656616, 1.5532472486849185, 1.3322933559064511, 0.9266986228801586, 0.7670979181925456, 0.6532163023948669, 0.6769424813765067, 0.5876571394779064, 0.5132705533946001, 0.4463982224464417, 0.46866401831309, 0.38756269260689064, 0.4489729236673426, 0.445837312274509, 0.4363462969108864, 0.4651108225186666, 0.4337391469213698, 0.4223137394145683, 0.39801572539188246, 0.3734122572121797, 0.35985541498219525, 0.4293623924255371, 0.5184022453096178, 0.45181603917369134, 0.4473373806035077, 0.4089499045301367]","[0.2962962962962963, 0.39814814814814814, 0.4351851851851852, 0.5740740740740741, 0.6277777777777778, 0.674074074074074, 0.6555555555555556, 0.6851851851851852, 0.75, 0.7555555555555555, 0.7111111111111111, 0.7925925925925926, 0.7407407407407407, 0.7777777777777778, 0.7796296296296297, 0.7685185185185185, 0.7888888888888889, 0.7870370370370371, 0.7777777777777778, 0.8166666666666667, 0.8092592592592592, 0.7648148148148148, 0.7574074074074074, 0.7796296296296297, 0.7537037037037037, 0.7814814814814814]","[1.4260229924145866, 1.6711720438564526, 1.0200977325439453, 0.7767525928861955, 0.8034099796239067, 0.746774121242411, 0.7536495538318858, 0.845095602905049, 0.6122864344540764, 0.4706750687430887, 0.5989738071666044, 0.701674314106212, 0.6962539623765385, 0.5899081948925468, 0.7451011854059556, 0.5511296689510345, 0.5494901467772091, 0.487961083650589, 0.6166737570482141, 0.496519874123966, 0.8744942966629478, 0.619402734672322, 0.9409686607473037, 0.4815839318668141, 0.6365900846088633, 0.5226390344255111]","[0.4632352941176471, 0.3088235294117647, 0.5220588235294118, 0.6617647058823529, 0.6397058823529411, 0.6617647058823529, 0.6323529411764706, 0.6985294117647058, 0.6838235294117647, 0.7058823529411765, 0.6470588235294118, 0.75, 0.6470588235294118, 0.7426470588235294, 0.6691176470588235, 0.6397058823529411, 0.7279411764705882, 0.6838235294117647, 0.6911764705882353, 0.6985294117647058, 0.6838235294117647, 0.6544117647058824, 0.6617647058823529, 0.7132352941176471, 0.6470588235294118, 0.7132352941176471]",[],[],0.6829479310049051,0.7132352941176471,0.0,False,0.009652509652509652,0.008251024369894146,0.06382352941176472,0.7814814814814814,0.4089499045301367,0.7132352941176471,0.5226390344255111
998,32,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[487, 375, 373, 367, 396]",mutated,37,<class 'torch.nn.modules.activation.ELU'>,0.0,<class 'torch.optim.rmsprop.RMSprop'>,0.0014067883112681714,0.0,,32,True,xavier_normal,step,"{'gamma': 0.99, 'T_max': 100, 'step_size': 20}",38,"[3.1810059017605252, 16.699282628518564, 3.2659016141185053]","[0.37037037037037035, 0.3055555555555556, 0.375]","[16.211477279663086, 7.419433874242446, 1.278859489104327]","[0.22058823529411764, 0.25, 0.6029411764705882]",[],[],0.997172056871427,0.6798612682965837,0.0,True,0.3475935828877005,0.03018069973087274,0.3676470588235294,0.375,3.2659016141185053,0.6029411764705882,1.278859489104327
42,128,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",29,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[205, 206]",inv_pyramid,2,<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.0014067883112681714,1e-06,,128,True,xavier_normal,cosine,{'T_max': 100},546,"[1.3892755508422852, 1.2530221939086914, 1.1249145755061396, 1.028719343520977, 0.8662181933720906, 0.5836154531549524, 0.41699440953908146, 0.31104296241645457, 0.22788815633566292, 0.1590595940472903, 0.11468907925817702, 0.08045492222601616, 0.05959062810159392, 0.0455102751997334, 0.03534302896371594, 0.028232411729792753, 0.023001206987020042, 0.019067857210972795, 0.016058058646955975, 0.013731164943978743, 0.011873137169621057, 0.01037891481106204, 0.009152513733823543, 0.008131477210015335, 0.007271311660642149, 0.006539138151263749, 0.005912887962983438, 0.005371091233704377, 0.004898715301209854]","[0.3333333333333333, 0.42592592592592593, 0.5601851851851852, 0.5370370370370371, 0.6018518518518519, 0.774074074074074, 0.8685185185185185, 0.9111111111111111, 0.9537037037037037, 0.987037037037037, 0.9981481481481481, 0.9981481481481481, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.299959372071659, 1.2083572289522957, 1.1058368051753324, 0.9343891774906832, 0.8395213519825655, 0.7200387470862445, 0.6904866555157829, 0.6814927669132457, 0.6877030344570384, 0.7109004749971277, 0.7377646845929763, 0.7130114927011377, 0.7116684177342583, 0.7232474334099713, 0.7333412485964158, 0.7435349296121037, 0.7555042890941396, 0.7657093195354238, 0.777115969096913, 0.7872940442141365, 0.7967784895616419, 0.8058093014885398, 0.8144948763005874, 0.8219981474034926, 0.8289583816247827, 0.8361135966637555, 0.8425526654019075, 0.8494713832350338, 0.8557143316549414]","[0.38235294117647056, 0.45588235294117646, 0.5808823529411765, 0.5514705882352942, 0.625, 0.6397058823529411, 0.6544117647058824, 0.6470588235294118, 0.6397058823529411, 0.6323529411764706, 0.6617647058823529, 0.6617647058823529, 0.6764705882352942, 0.6764705882352942, 0.6764705882352942, 0.6764705882352942, 0.6764705882352942, 0.6691176470588235, 0.6764705882352942, 0.6764705882352942, 0.6691176470588235, 0.6691176470588235, 0.6691176470588235, 0.6691176470588235, 0.6691176470588235, 0.6691176470588235, 0.6691176470588235, 0.6691176470588235, 0.6691176470588235]",[],[],0.66328389444113,0.6691176470588235,0.0,False,0.009922654182780379,0.004513493163929907,0.030199579831932666,1.0,0.004898715301209854,0.6691176470588235,0.8557143316549414
52,256,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",29,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[321, 243, 385]",irregular,3,<class 'torch.nn.modules.activation.ELU'>,0.4,<class 'torch.optim.adamw.AdamW'>,0.014337767688327818,1e-05,,256,False,kaiming_uniform,cosine,{'T_max': 50},676,"[2.150306463241577, 2.1043143272399902, 5.960690021514893, 3.2659253897490323, 1.8801981157726713, 1.1993157642859, 0.6140102838821433, 0.3691171899049853, 0.3848651467257662, 0.09612330325396248, 0.0454837029129353, 0.008250254280089091, 0.005830988865043899, 0.004777877384266402, 0.002152763383882875, 0.0013035450930652182, 0.0008519857780205105, 0.0005068763775246528, 0.000324927129492978, 0.0002274030587799374, 0.00017067620795690647, 0.0001351153768812057, 0.00011156005605159778, 9.523292288509698e-05, 8.349834136896351e-05, 7.479198279051396e-05, 6.81605591412167e-05, 6.299067724824084e-05, 5.887480414946401e-05]","[0.24074074074074073, 0.5, 0.5185185185185185, 0.5509259259259259, 0.6111111111111112, 0.6537037037037037, 0.8166666666666667, 0.8611111111111112, 0.8851851851851852, 0.9592592592592593, 0.9814814814814815, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[2.1701295375823975, 7.422024726867676, 3.0435047149658203, 2.157512664794922, 1.5657752752304077, 1.6755685806274414, 1.3630189895629883, 1.1726762056350708, 0.8768854737281799, 1.106684684753418, 1.1269705295562744, 1.3898392915725708, 1.5824445486068726, 1.6248799562454224, 1.6379754543304443, 1.6487480401992798, 1.654093861579895, 1.6550343036651611, 1.6529945135116577, 1.6489852666854858, 1.6439423561096191, 1.6384652853012085, 1.632951021194458, 1.6276402473449707, 1.6226612329483032, 1.6180715560913086, 1.6138821840286255, 1.6100802421569824, 1.6066389083862305]","[0.47794117647058826, 0.5073529411764706, 0.5, 0.5661764705882353, 0.5735294117647058, 0.6176470588235294, 0.6176470588235294, 0.6764705882352942, 0.7058823529411765, 0.6764705882352942, 0.6691176470588235, 0.6911764705882353, 0.6617647058823529, 0.6544117647058824, 0.6470588235294118, 0.6544117647058824, 0.6544117647058824, 0.6470588235294118, 0.6544117647058824, 0.6544117647058824, 0.6544117647058824, 0.6470588235294118, 0.6544117647058824, 0.6544117647058824, 0.6617647058823529, 0.6617647058823529, 0.6617647058823529, 0.6691176470588235, 0.6617647058823529]",[],[],0.6494444902641227,0.6617647058823529,0.0,False,0.006360675758192549,0.0030783401700891586,0.027048319327731107,1.0,5.887480414946401e-05,0.6617647058823529,1.6066389083862305
1023,32,"[54, 108, 216]",2,"[0.1, 0.4]","[435, 284, 231, 99, 388, 480, 128, 256]",mutated,2,<class 'torch.nn.modules.activation.ELU'>,0.0,<class 'torch.optim.adam.Adam'>,0.0005206523602117206,0.0,,32,True,kaiming_uniform,cosine,"{'gamma': 0.9, 'T_max': 50, 'step_size': 20}",1131,"[1.4563078173884638, 0.7388399883552834]","[0.3148148148148148, 0.7037037037037037]","[1.2128015476114609, 0.9256267933284535]","[0.3897058823529412, 0.6029411764705882]",[],[],0.0,0.6029411764705882,0.0,False,,,,0.7037037037037037,0.7388399883552834,0.6029411764705882,0.9256267933284535
201,1024,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",23,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0]","[489, 168, 214, 286, 388, 480, 128]",mutated,6,<class 'torch.nn.modules.activation.ELU'>,0.0,<class 'torch.optim.adam.Adam'>,0.0014067883112681714,1e-05,,1024,False,xavier_normal,exponential,"{'gamma': 0.99, 'T_max': 100}",49,"[1.3945890665054321, 1.1653492450714111, 1.157575249671936, 0.8698164820671082, 0.8154251575469971, 0.726205050945282, 0.6382153034210205, 0.6030887365341187, 0.5477030873298645, 0.5102787613868713, 0.4586694836616516, 0.46154943108558655, 0.43030229210853577, 0.42732447385787964, 0.38850489258766174, 0.383947491645813, 0.3703570067882538, 0.34265315532684326, 0.3544589877128601, 0.3323860764503479, 0.3290615677833557, 0.31565648317337036, 0.3195081651210785]","[0.3148148148148148, 0.5462962962962963, 0.4861111111111111, 0.6412037037037037, 0.6518518518518519, 0.6981481481481482, 0.7074074074074074, 0.7388888888888889, 0.7685185185185185, 0.7555555555555555, 0.7796296296296297, 0.7722222222222223, 0.7759259259259259, 0.7944444444444444, 0.8074074074074075, 0.8166666666666667, 0.8240740740740741, 0.8444444444444444, 0.8388888888888889, 0.825925925925926, 0.8462962962962963, 0.8425925925925926, 0.8296296296296296]","[1.2496929168701172, 1.2085591554641724, 0.9176508784294128, 0.9553057551383972, 0.8985748887062073, 0.7896655797958374, 0.718926191329956, 0.7705165147781372, 0.7484613060951233, 0.642132043838501, 0.5766604542732239, 0.576356828212738, 0.6329730749130249, 0.5531200170516968, 0.49451637268066406, 0.4876365065574646, 0.55022132396698, 0.6293676495552063, 0.5678432583808899, 0.531461775302887, 0.5405320525169373, 0.5594944357872009, 0.4573299288749695]","[0.5, 0.47794117647058826, 0.625, 0.5882352941176471, 0.625, 0.6617647058823529, 0.6102941176470589, 0.6029411764705882, 0.6176470588235294, 0.6397058823529411, 0.6985294117647058, 0.6985294117647058, 0.6617647058823529, 0.7205882352941176, 0.75, 0.7205882352941176, 0.7279411764705882, 0.6838235294117647, 0.6985294117647058, 0.7205882352941176, 0.7647058823529411, 0.6985294117647058, 0.7647058823529411]",[],[],0.6825620582558393,0.5730046356010766,0.0,False,0.011559208836372976,0.005486293260771447,0.10594919786096235,0.8296296296296296,0.3195081651210785,0.7647058823529411,0.4573299288749695
751,64,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080]",9,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0]","[489, 168, 373, 367, 314, 505, 256]",mutated,6,<class 'torch.nn.modules.activation.Tanh'>,0.0,<class 'torch.optim.adam.Adam'>,0.0008854430657507172,0.001,,64,False,xavier_normal,cosine,"{'gamma': 0.99, 'T_max': 50, 'step_size': 20}",49,"[1.366700291633606, 1.1767721043692694, 1.0275531543625727, 0.7466314302550422, 0.6392309546470643, 0.5999608178933461, 0.5342224008507199, 0.44804170749805594, 0.38715271419949004]","[0.37037037037037035, 0.4444444444444444, 0.5185185185185185, 0.6527777777777778, 0.7055555555555556, 0.737037037037037, 0.7425925925925926, 0.7611111111111111, 0.8037037037037037]","[1.2296166700475357, 1.0632704706753002, 0.8212931015912224, 0.7692038206493154, 0.6373405561727636, 0.5507552606218001, 0.5599638486609739, 0.5031025497352376, 0.47920915659736185]","[0.49264705882352944, 0.4338235294117647, 0.6470588235294118, 0.6102941176470589, 0.7132352941176471, 0.6911764705882353, 0.6617647058823529, 0.7279411764705882, 0.7352941176470589]",[],[],0.6828449206145215,0.5674634384962892,0.0,False,0.02726371447455387,0.010020184544405996,0.11305147058823539,0.8037037037037037,0.38715271419949004,0.7352941176470589,0.47920915659736185
232,128,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",22,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0]","[389, 375, 373, 367, 314, 505, 256]",mutated,4,<class 'torch.nn.modules.activation.Tanh'>,0.1,<class 'torch.optim.adamw.AdamW'>,0.0008854430657507172,0.001,,128,True,xavier_normal,none,"{'gamma': 0.99, 'step_size': 20, 'T_max': 50}",38,"[1.4005151987075806, 1.195610761642456, 1.0443993850990578, 0.8273244610539189, 0.7743424318454883, 0.7059864913975751, 0.5583108588501259, 0.4312024543682734, 0.3427836220573496, 0.2623876669892558, 0.18476382946526562, 0.12526738371148152, 0.08238260678395078, 0.04694189869419292, 0.1733385204234057, 0.09655427421546645, 0.15290559400562886, 0.08106673270877865, 0.07559497588210635, 0.026730792876333, 0.023836246153546705, 0.01082142233952052]","[0.35185185185185186, 0.5092592592592593, 0.5925925925925926, 0.6504629629629629, 0.6703703703703704, 0.6925925925925925, 0.7796296296296297, 0.8351851851851851, 0.8888888888888888, 0.9037037037037037, 0.9555555555555556, 0.9574074074074074, 0.9851851851851852, 0.9962962962962963, 0.9185185185185185, 0.9629629629629629, 0.937037037037037, 0.9796296296296296, 0.9814814814814815, 1.0, 0.9981481481481481, 1.0]","[1.2647723941241993, 1.1305409319260542, 0.8966224053326775, 0.9589141133953544, 0.7737783403957591, 0.8320941469248604, 0.7026511115186355, 0.5776984972112319, 0.6728778130867902, 0.5265878982403699, 0.6378375046393451, 0.6086114364511827, 0.7369402611956877, 1.138340192682603, 1.2598319053649902, 1.021080816493315, 1.3254978910965078, 0.7844231900046853, 0.7826240728883183, 0.9407295777517206, 0.924000554225024, 0.8795294972027049]","[0.47058823529411764, 0.5441176470588235, 0.625, 0.5808823529411765, 0.6397058823529411, 0.6176470588235294, 0.6691176470588235, 0.6911764705882353, 0.6838235294117647, 0.7205882352941176, 0.7279411764705882, 0.7279411764705882, 0.7352941176470589, 0.6838235294117647, 0.6544117647058824, 0.7205882352941176, 0.6617647058823529, 0.7279411764705882, 0.6838235294117647, 0.6691176470588235, 0.7058823529411765, 0.7058823529411765]",[],[],0.685913315369649,0.5568701682945478,0.0,False,0.010744023636852004,0.004191212216534646,0.04201680672268915,1.0,0.01082142233952052,0.7058823529411765,0.8795294972027049
192,128,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",23,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0]","[441, 367, 321, 494]",mutated,4,<class 'torch.nn.modules.activation.ELU'>,0.2,<class 'torch.optim.adam.Adam'>,0.002288588363459332,1e-05,,128,True,kaiming_normal,cosine,"{'gamma': 0.1, 'step_size': 20, 'T_max': 100}",43,"[2.2155916690826416, 1.5689880847930908, 1.6123728222317166, 0.955573700092457, 0.8064539308901186, 0.3251563889560876, 0.17254348415881396, 0.08581236339760599, 0.05117211111959208, 0.02652750131242943, 0.01803647865049748, 0.013542360745810179, 0.010223137534706404, 0.0018244778649036393, 0.005011829876457341, 0.0009773836357958822, 0.0009518748464028316, 0.0014666374529177255, 0.0007516547757269883, 0.000547053915862408, 0.00048424443057565775, 0.00044873513198345554, 0.00042074766992030804]","[0.2037037037037037, 0.49074074074074076, 0.5092592592592593, 0.6226851851851852, 0.6814814814814815, 0.8722222222222222, 0.9296296296296296, 0.975925925925926, 0.9851851851851852, 0.9981481481481481, 0.9981481481481481, 1.0, 0.9981481481481481, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[2.1720333800596348, 2.1817324932883766, 1.1380099233459025, 1.1753446775324203, 0.5486071074710173, 0.7375571762814241, 0.6440290685962228, 0.8256135723170113, 0.8449832499027252, 0.8536215599845437, 0.7949498891830444, 0.729328032802133, 0.8041547677096199, 1.0433191271389233, 0.9332205162328833, 0.9245015119805056, 1.1351178498829113, 1.076922777821036, 0.9631601221421185, 0.9077761225840625, 0.8869254606611588, 0.8801916767569149, 0.878580291481579]","[0.41911764705882354, 0.4632352941176471, 0.5882352941176471, 0.6029411764705882, 0.6911764705882353, 0.7132352941176471, 0.7132352941176471, 0.6544117647058824, 0.6985294117647058, 0.6691176470588235, 0.6764705882352942, 0.6911764705882353, 0.6764705882352942, 0.6617647058823529, 0.6838235294117647, 0.6544117647058824, 0.6397058823529411, 0.6544117647058824, 0.6838235294117647, 0.6764705882352942, 0.6838235294117647, 0.7058823529411765, 0.7058823529411765]",[],[],0.6787297347625911,0.5536340685115293,0.0,False,0.01252247623940406,0.005228944407741968,0.05581550802139046,1.0,0.00042074766992030804,0.7058823529411765,0.878580291481579
