,pipeline,accuracy
16,"Pipeline(steps=[('data-pre-processor', MinMaxScaler()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8397
8,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",0.8397
23,"Pipeline(steps=[('feature-pre-processor', FastICA()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8397
28,"Pipeline(steps=[('feature-pre-processor', PCA()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8397
21,"Pipeline(steps=[('data-pre-processor', StandardScaler()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8397
22,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8397
20,"Pipeline(steps=[('data-pre-processor', RobustScaler()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8397
18,"Pipeline(steps=[('data-pre-processor', PowerTransformer()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8265
17,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8221
19,"Pipeline(steps=[('data-pre-processor', QuantileTransformer()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.8044
9,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",0.7765
7,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",0.7691
13,"Pipeline(steps=[('learner', LogisticRegression())])",0.7647
2,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",0.7456
11,"Pipeline(steps=[('learner', SVC(kernel='poly'))])",0.7426
10,"Pipeline(steps=[('learner', SVC())])",0.7397
1,"Pipeline(steps=[('learner', RandomForestClassifier())])",0.7382
0,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",0.7309
91,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9903965282055, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.9521617751724))])",0.7162
57,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9852931238158, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4027591584096))])",0.7118
127,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9871776886746, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.574472498372))])",0.7059
6,"Pipeline(steps=[('learner', KNeighborsClassifier())])",0.6956
4,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",0.6779
72,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9840019418201, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8640504898389))])",0.6721
70,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.9794956497221)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.6443326172901))])",0.6691
115,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.922309572587, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1344987805067))])",0.6618
113,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.917177837475)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.0541975616225))])",0.6588
53,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.917425602923, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7617525181648))])",0.6279
111,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.91282628461, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.2469576469052))])",0.6191
124,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9237203638099, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.9874026042022))])",0.6074
71,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.9623319448283)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8590983672716))])",0.5515
29,"Pipeline(steps=[('feature-pre-processor', PolynomialFeatures()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.5441
12,"Pipeline(steps=[('learner', SVC(kernel='sigmoid'))])",0.525
99,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.9059000884105, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.5232831270253))])",0.4897
69,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8928978393608, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.6679058493515))])",0.4868
128,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8559699234092, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1785973983243))])",0.4853
123,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.896677211129, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7108975695336))])",0.4838
46,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8936025529307, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.2774214644797))])",0.4794
97,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8590509140947, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.2196179775428))])",0.4765
85,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8435930186906, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.397409222396))])",0.4735
80,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8554953816681, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.041283745347))])",0.4706
49,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.8438494354166)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1639091017027))])",0.4706
108,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.885837566945, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.9871082909722))])",0.4706
93,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8961552785087, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7854587686266))])",0.4706
114,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8862735405217, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7844256449848))])",0.4706
