id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,forecast_gain,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc
4,32,"[54, 108]",1,[0.1],"[472, 446, 437, 416, 411, 403, 296, 249, 160, 131, 107, 100, 74, 70, 57, 40, 40, 57, 70, 74, 100, 107, 131, 160, 249, 296, 403, 411, 416, 437, 446, 472]",hourglass,31,<class 'torch.nn.modules.activation.ELU'>,0.2,<class 'torch.optim.adam.Adam'>,0.0005327763740107239,0.0,,32,False,kaiming_uniform,cosine,{'T_max': 100},368208,[16.47279386167173],[0.25925925925925924],[2.302992680493523],[0.27941176470588236],[],[],0.0,0.27941176470588236,0.0,False,0.25925925925925924,16.47279386167173,0.27941176470588236,2.302992680493523,,,
1,256,"[54, 108]",1,[0.1],"[260, 175, 311, 4, 199, 405, 246, 479, 300, 282, 424, 172, 86, 347, 113, 150, 53, 250, 101, 99, 229, 18, 287, 125]",irregular,24,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.rmsprop.RMSprop'>,0.00030841974815418437,1e-05,,256,False,kaiming_uniform,none,{},92052,[2.1065402030944824],[0.2777777777777778],[1.4300942420959473],[0.23529411764705882],[],[],0.0,0.23529411764705882,0.0,False,0.2777777777777778,2.1065402030944824,0.23529411764705882,1.4300942420959473,,,
3,128,"[54, 108]",1,[0.1],"[37, 59, 76, 94, 96, 112, 119, 176, 217, 231, 279, 298, 303, 309, 310, 321, 322, 325, 329, 334, 336, 359, 363, 394, 398, 409, 457, 462, 470, 478, 487]",inv_pyramid,31,<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.adam.Adam'>,0.029189799542681714,1e-06,,128,False,kaiming_uniform,step,"{'step_size': 5, 'gamma': 0.9}",276156,[1.469555377960205],[0.25925925925925924],[3.8886265754699707],[0.22058823529411764],[],[],0.0,0.22058823529411764,0.0,False,0.25925925925925924,1.469555377960205,0.22058823529411764,3.8886265754699707,,,
5,1024,"[54, 108]",1,[0.1],"[3, 19, 25, 33, 51, 99, 120, 156, 162, 211, 229, 286, 291, 297, 314, 314, 320, 321, 342, 344, 344, 350, 357, 357, 368, 393, 403, 411, 419, 427, 429, 432, 461, 469, 487, 493]",inv_pyramid,36,<class 'torch.nn.modules.activation.ELU'>,0.1,<class 'torch.optim.adamw.AdamW'>,0.00025798422454547597,0.01,,1024,False,xavier_normal,none,{},460260,[1.4015213251113892],[0.18518518518518517],[1.3733932971954346],[0.21323529411764705],[],[],0.0,0.21323529411764705,0.0,False,0.18518518518518517,1.4015213251113892,0.21323529411764705,1.3733932971954346,,,
0,512,"[54, 108]",1,[0.1],"[498, 497, 473, 427, 404, 301, 264, 251, 247, 210, 186, 158, 135, 23, 135, 158, 186, 210, 247, 251, 264, 301, 404, 427, 473, 497, 498]",hourglass,26,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.sgd.SGD'>,0.0007006700163436125,0.0,0.95,512,True,kaiming_uniform,step,"{'step_size': 5, 'gamma': 0.9}",0,[829.1902465820312],[0.24074074074074073],[6.699796676635742],[0.21323529411764705],[],[],0.0,0.21323529411764705,0.0,False,0.24074074074074073,829.1902465820312,0.21323529411764705,6.699796676635742,,,
10,32,"[54, 108, 216]",2,"[0.1, 0.4]","[11, 26, 211, 392, 442]",inv_pyramid,5,<class 'torch.nn.modules.activation.GELU'>,0.0,<class 'torch.optim.rmsprop.RMSprop'>,0.0002253019075367613,0.01,,32,True,kaiming_uniform,step,"{'step_size': 20, 'gamma': 0.1}",920520,"[1.754173473075584, 1.158543758922153]","[0.2962962962962963, 0.4722222222222222]","[1.3307134544148165, 1.5289546181173885]","[0.3897058823529412, 0.3897058823529412]",[],[],0.0,0.3897058823529412,0.0,False,0.4722222222222222,1.158543758922153,0.3897058823529412,1.5289546181173885,,,
14,32,"[54, 108, 216]",2,"[0.1, 0.4]","[491, 466, 456, 455, 436, 424, 410, 410, 407, 364, 346, 329, 292, 272, 257, 254, 250, 244, 242, 232, 222, 222, 214, 193, 192, 135, 125, 122, 92, 48, 3]",pyramid,31,<class 'torch.nn.modules.activation.Tanh'>,0.0,<class 'torch.optim.adam.Adam'>,0.0023119674176552796,0.0001,,32,True,kaiming_normal,step,"{'step_size': 30, 'gamma': 0.1}",1288728,"[1.4128350019454956, 1.3668396914446796]","[0.25925925925925924, 0.25925925925925924]","[1.3695744346169865, 1.3843934185364668]","[0.29411764705882354, 0.3161764705882353]",[],[],0.0,0.3161764705882353,0.0,False,0.25925925925925924,1.3668396914446796,0.3161764705882353,1.3843934185364668,,,
6,512,"[54, 108, 216]",2,"[0.1, 0.4]","[488, 477, 473, 461, 454, 433, 430, 412, 402, 385, 375, 357, 353, 325, 313, 306, 297, 279, 274, 260, 248, 243, 238, 221, 220, 217, 215, 206, 197, 192, 172, 158, 155, 154, 130, 116, 111, 111, 92, 83, 63, 42, 41, 28, 15]",pyramid,45,<class 'torch.nn.modules.activation.ELU'>,0.5,<class 'torch.optim.adamw.AdamW'>,0.005310098494104214,1e-05,,512,False,xavier_normal,step,"{'step_size': 10, 'gamma': 0.5}",552312,"[4.5863423347473145, 3.825863838195801]","[0.3333333333333333, 0.2037037037037037]","[1.3831595182418823, 1.3925271034240723]","[0.2647058823529412, 0.3161764705882353]",[],[],0.0,0.3161764705882353,0.0,False,0.2037037037037037,3.825863838195801,0.3161764705882353,1.3925271034240723,,,
11,256,"[54, 108, 216]",2,"[0.1, 0.4]","[304, 436, 282, 411, 342, 270, 233, 472, 347, 238, 440, 143, 158, 447, 209, 283, 267, 493]",irregular,18,<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.03554268825586875,0.0001,,256,True,kaiming_normal,exponential,{'gamma': 0.9},1012572,"[343.00054931640625, 1.3041658161260397e+19]","[0.3333333333333333, 0.26851851851851855]","[2.426430572600492e+18, 2.2059478423447798e+18]","[0.21323529411764705, 0.22058823529411764]",[],[],0.0,0.22058823529411764,0.0,False,0.26851851851851855,1.3041658161260397e+19,0.22058823529411764,2.2059478423447798e+18,,,
13,1024,"[54, 108, 216]",2,"[0.1, 0.4]","[13, 23, 30, 41, 43, 63, 80, 105, 107, 121, 149, 160, 168, 180, 182, 188, 194, 214, 224, 246, 250, 251, 251, 275, 276, 290, 303, 331, 354, 362, 365, 368, 374, 383, 384, 386, 411, 415, 424, 452, 458, 460, 468, 486, 491, 493, 497, 500]",inv_pyramid,48,<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.rmsprop.RMSprop'>,0.03031776901027025,1e-05,,1024,False,xavier_uniform,exponential,{'gamma': 0.95},1196676,"[1.3857086896896362, 6.25844703801377e+22]","[0.25925925925925924, 0.25925925925925924]","[5.998189870227545e+22, nan]","[0.21323529411764705, 0.21323529411764705]",[],[],0.0,0.21323529411764705,0.0,False,0.25925925925925924,6.25844703801377e+22,0.21323529411764705,,,,
