id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,forecast_gain,fcst_greater_than_baseline,slope_val_acc,var_val_acc,gap_val_acc,last_train_acc,last_train_loss,last_val_acc,last_val_loss
76,64,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",24,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0]","[496, 310, 174, 80]",pyramid,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.003997274027073304,0.0,,64,False,xavier_uniform,step,"{'step_size': 20, 'gamma': 0.5}",6995952,"[1.3862502574920654, 1.2652835316128201, 0.9661323406078197, 0.7165638870663114, 0.5716059790717231, 0.4368836639104066, 0.3598308523495992, 0.33714427727240104, 0.24102587854420698, 0.19679900529208005, 0.23321072624789344, 0.17990656561321683, 0.1910896538446347, 0.17840323448181153, 0.19635351370606158, 0.23422688080204856, 0.15004395091975176, 0.10508455126373856, 0.1786412122918086, 0.4682274580001831, 0.46774988008870017, 0.3107688753693192, 0.23184206058029774, 0.12253938582208422]","[0.2037037037037037, 0.5277777777777778, 0.6064814814814815, 0.6944444444444444, 0.7425925925925926, 0.7648148148148148, 0.8055555555555556, 0.8388888888888889, 0.8870370370370371, 0.9203703703703704, 0.9, 0.9203703703703704, 0.9277777777777778, 0.924074074074074, 0.9407407407407408, 0.924074074074074, 0.9425925925925925, 0.9666666666666667, 0.9351851851851852, 0.8407407407407408, 0.8666666666666667, 0.8925925925925926, 0.912962962962963, 0.9537037037037037]","[1.3292431340498083, 1.1935110512901754, 1.000687046962626, 0.9191718452117023, 0.5920741102274727, 0.7284712353173424, 0.8335227703346926, 0.7883250660756055, 0.7796841132290223, 0.8682229457532659, 0.9958661971065927, 0.9475706377450157, 1.3643323218121248, 2.205633654313929, 1.5692415684461594, 1.4878171822604012, 2.2111776155584, 0.9209746876183678, 2.6068163864752827, 1.1575902314747082, 1.1012323884403004, 1.2271175660631235, 1.2240039057591383, 1.2810044082648613]","[0.49264705882352944, 0.5294117647058824, 0.5588235294117647, 0.6323529411764706, 0.6470588235294118, 0.6544117647058824, 0.6764705882352942, 0.6838235294117647, 0.7058823529411765, 0.7205882352941176, 0.7720588235294118, 0.6985294117647058, 0.7058823529411765, 0.6691176470588235, 0.6544117647058824, 0.6911764705882353, 0.6470588235294118, 0.6985294117647058, 0.6764705882352942, 0.6617647058823529, 0.6838235294117647, 0.7132352941176471, 0.7132352941176471, 0.7058823529411765]",[],[],0.6839865714398903,0.7058823529411765,0.0,False,0.008921978833374354,0.0037251860762687427,0.04124040920716121,0.9537037037037037,0.12253938582208422,0.7058823529411765,1.2810044082648613
354,32,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",14,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","[481, 480, 174, 80, 128]",mutated,18,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.rmsprop.RMSprop'>,0.0029799297945666704,1e-05,,32,False,xavier_normal,step,"{'step_size': 20, 'T_max': 10, 'gamma': 0.99}",8560836,"[1.4109648598564997, 8.948494376959625, 1.1937958090393632, 1.02185148662991, 0.6990204643320155, 0.5257539727069713, 0.443426987418422, 0.3580001385123641, 0.29296986604178393, 0.2541920312024929, 0.3478870865371492, 0.24084340024877476, 0.23649278846051958, 0.2002900152294724]","[0.35185185185185186, 0.25, 0.5370370370370371, 0.6018518518518519, 0.6759259259259259, 0.7333333333333333, 0.7685185185185185, 0.825925925925926, 0.8648148148148148, 0.8740740740740741, 0.8740740740740741, 0.9055555555555556, 0.9314814814814815, 0.9314814814814815]","[17.368991515215704, 1.2595272695316988, 0.955688311773188, 0.874222457408905, 0.758461173842935, 0.7990810169893152, 0.947228391380871, 1.1429969913819258, 0.9106740460676306, 1.0503850684446447, 1.0627005100250244, 1.2229042263591992, 0.9662526705685783, 1.742659190121819]","[0.2426470588235294, 0.47058823529411764, 0.6176470588235294, 0.6470588235294118, 0.625, 0.6102941176470589, 0.6323529411764706, 0.6470588235294118, 0.6985294117647058, 0.6691176470588235, 0.7058823529411765, 0.5955882352941176, 0.6764705882352942, 0.6029411764705882]",[],[],0.6621276651549469,0.6029411764705882,0.0,False,0.025920440118493437,0.01302984429065744,0.0,0.9314814814814815,0.2002900152294724,0.6029411764705882,1.742659190121819
47,128,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",24,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0]","[429, 472, 410, 147]",irregular,4,<class 'torch.nn.modules.activation.GELU'>,0.0,<class 'torch.optim.adam.Adam'>,0.015730828892054315,1e-05,,128,True,xavier_uniform,step,"{'step_size': 20, 'gamma': 0.1}",4326444,"[1.385204792022705, 1.0494601726531982, 8.839667373233372, 1.5932574139700995, 1.0841973534336797, 0.9619265392974571, 0.7756527150118793, 0.6523866192058281, 0.5546946026660778, 0.53594208072733, 0.5393443231229429, 0.4890891225249679, 0.4468950680008641, 0.4272330945288694, 0.4585448035487422, 0.37054611841837565, 0.43388079625588877, 0.3960262719127867, 0.3622979784453357, 0.3350837069529074, 0.3701955060164134, 0.45772314038541584, 0.35652878648704955, 0.29535615427626505]","[0.24074074074074073, 0.5833333333333334, 0.37962962962962965, 0.44675925925925924, 0.4962962962962963, 0.6055555555555555, 0.6703703703703704, 0.6925925925925925, 0.7333333333333333, 0.7185185185185186, 0.6981481481481482, 0.75, 0.7611111111111111, 0.7944444444444444, 0.7444444444444445, 0.8148148148148148, 0.7611111111111111, 0.7925925925925926, 0.8388888888888889, 0.8444444444444444, 0.8037037037037037, 0.8111111111111111, 0.8518518518518519, 0.8629629629629629]","[1.169890607104582, 9.454781083499684, 1.7148643030839807, 1.0897634239757763, 1.180403751485488, 0.8272997877177071, 0.9066390184795156, 1.332948656643138, 1.1978589436587166, 0.8660057993496165, 0.9827984922072467, 0.9753150133525624, 1.3268573003656723, 1.4118284583091736, 1.411813935812782, 1.042214505812701, 0.7355812928255867, 1.4608418029897354, 0.993239658720353, 0.6073960276211009, 0.7252656396697549, 0.8789083642118117, 0.7843692407888525, 0.9074941873550415]","[0.47794117647058826, 0.38235294117647056, 0.39705882352941174, 0.5514705882352942, 0.5808823529411765, 0.5955882352941176, 0.6176470588235294, 0.6764705882352942, 0.6544117647058824, 0.6985294117647058, 0.6764705882352942, 0.6838235294117647, 0.7647058823529411, 0.7279411764705882, 0.6838235294117647, 0.7058823529411765, 0.7058823529411765, 0.7132352941176471, 0.7352941176470589, 0.7205882352941176, 0.7132352941176471, 0.7058823529411765, 0.7132352941176471, 0.7426470588235294]",[],[],0.6848299322966661,0.567424195781609,0.0,False,0.011075559931085405,0.01046613306781046,0.09558823529411786,0.8629629629629629,0.29535615427626505,0.7426470588235294,0.9074941873550415
436,32,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",12,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0]","[496, 310, 174, 80]",mutated,5,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adamw.AdamW'>,0.003997274027073304,0.0,,32,True,xavier_uniform,step,"{'step_size': 20, 'gamma': 0.5}",6995952,"[1.378686993210404, 1.1960544674484819, 0.9090719664538348, 0.5931767203189708, 0.5758346014552647, 0.38626078676294395, 0.3180760039223565, 0.3915926232382103, 0.41197031648070725, 0.2901139618070037, 0.17065845220177261, 0.17812054091029697]","[0.24074074074074073, 0.4537037037037037, 0.6018518518518519, 0.7291666666666666, 0.6944444444444444, 0.7888888888888889, 0.825925925925926, 0.8240740740740741, 0.8222222222222222, 0.8648148148148148, 0.9425925925925925, 0.9314814814814815]","[1.2538651578566606, 1.1964927210527307, 0.8088949638254502, 0.7909568372894736, 0.7299329165150138, 0.7835001384510714, 1.2963926827206331, 0.7396410616005168, 1.1330119441537296, 0.8000385060029871, 1.164269365808543, 1.205634387100444]","[0.4632352941176471, 0.49264705882352944, 0.6838235294117647, 0.625, 0.7426470588235294, 0.6691176470588235, 0.6470588235294118, 0.6838235294117647, 0.6764705882352942, 0.6985294117647058, 0.6985294117647058, 0.6985294117647058]",[],[],0.685311144600871,0.5561689188155121,0.0,False,0.019772614928324266,0.006603529892349094,0.05481283422459893,0.9314814814814815,0.17812054091029697,0.6985294117647058,1.205634387100444
794,128,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[496, 310, 75, 407, 64]",mutated,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.000624028722617916,0.0,,128,False,xavier_normal,step,"{'step_size': 20, 'gamma': 0.5, 'T_max': 10}",1933092,"[1.3922264575958252, 1.3794828653335571, 1.3643773882477372]","[0.2222222222222222, 0.32407407407407407, 0.4583333333333333]","[1.3763665521846098, 1.3688256389954512, 1.3516176027410172]","[0.22794117647058823, 0.5367647058823529, 0.5441176470588235]",[],[],0.6478272234608962,0.5446355368641379,0.0,False,0.2874331550802139,0.02171039984621299,0.16176470588235292,0.4583333333333333,1.3643773882477372,0.5441176470588235,1.3516176027410172
114,512,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",22,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0]","[317, 310, 174, 80]",mutated,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.003997274027073304,0.0,,512,False,xavier_uniform,step,"{'step_size': 20, 'gamma': 0.5}",5799276,"[1.3941683769226074, 1.308367133140564, 1.2224383354187012, 1.160963535308838, 1.0507165162651628, 0.8484946074309172, 0.6845039418450108, 0.6801687104834451, 0.5997005315842452, 0.5500742932160695, 0.4539023609073074, 0.4687215168994886, 0.6324697957684596, 0.4609421293768618, 0.3348823015612585, 0.3484500657629084, 0.270283674724676, 0.2928702987178608, 0.23924115781706792, 0.23401092993164505, 0.20577519524980475, 0.19736526555347222]","[0.25925925925925924, 0.4444444444444444, 0.47685185185185186, 0.5208333333333334, 0.5611111111111111, 0.6611111111111111, 0.7185185185185186, 0.7129629629629629, 0.75, 0.7407407407407407, 0.7833333333333333, 0.7925925925925926, 0.7537037037037037, 0.7685185185185185, 0.8444444444444444, 0.8222222222222222, 0.8648148148148148, 0.8611111111111112, 0.8925925925925926, 0.8833333333333333, 0.912962962962963, 0.912962962962963]","[1.3553293943405151, 1.3019613027572632, 1.2596542835235596, 1.1462581157684326, 0.9671332240104675, 0.87989741563797, 0.8683867454528809, 0.7940664887428284, 0.8332173824310303, 0.6336912512779236, 0.9188759922981262, 1.214033842086792, 1.1096123456954956, 0.8286750912666321, 0.788481593132019, 0.7313547134399414, 0.910839855670929, 0.8019791841506958, 0.6995948553085327, 0.6253958940505981, 0.6782232522964478, 0.664310872554779]","[0.40441176470588236, 0.4264705882352941, 0.5, 0.5735294117647058, 0.5882352941176471, 0.6323529411764706, 0.5882352941176471, 0.6176470588235294, 0.6323529411764706, 0.6838235294117647, 0.6323529411764706, 0.6544117647058824, 0.6323529411764706, 0.6323529411764706, 0.6617647058823529, 0.6985294117647058, 0.6691176470588235, 0.6691176470588235, 0.6544117647058824, 0.6691176470588235, 0.6764705882352942, 0.7058823529411765]",[],[],0.6469935174640902,0.5380146206713414,0.0,False,0.013765780284716629,0.006153217850095799,0.09173669467787116,0.912962962962963,0.19736526555347222,0.7058823529411765,0.664310872554779
93,128,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",24,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0]","[481, 480, 415, 354, 161, 144, 76, 41]",pyramid,8,<class 'torch.nn.modules.activation.GELU'>,0.0,<class 'torch.optim.rmsprop.RMSprop'>,0.0029799297945666704,1e-05,,128,False,xavier_normal,cosine,{'T_max': 10},8560836,"[1.3884271383285522, 2.18581485748291, 69.1676087556062, 7.13441644333027, 1.2423803232334278, 1.1079000729101676, 1.006055434544881, 0.8027026110225254, 0.6657774086351748, 0.6240909700040465, 0.5726264960236019, 0.5326872094913765, 0.5085736976729499, 0.49605958748746803, 0.524638796294177, 0.46777263085047405, 0.7966195940971375, 0.494987862639957, 0.5181477904319763, 0.4982968696841487, 0.43085617003617466, 0.40893171297179326, 0.5568310227659014, 0.43424372187367194]","[0.24074074074074073, 0.37037037037037035, 0.25, 0.3194444444444444, 0.4740740740740741, 0.4981481481481482, 0.5407407407407407, 0.6111111111111112, 0.6537037037037037, 0.6703703703703704, 0.7, 0.6981481481481482, 0.7055555555555556, 0.7296296296296296, 0.7351851851851852, 0.75, 0.6777777777777778, 0.7240740740740741, 0.7351851851851852, 0.725925925925926, 0.7592592592592593, 0.7777777777777778, 0.7074074074074074, 0.7666666666666667]","[2.981908679008484, 64.28502228680779, 19.562263376572552, 1.2964884954340317, 1.2950640986947453, 0.9029284645529354, 0.8445724844932556, 0.8322894432965446, 0.739534739185782, 0.7487454835106345, 0.7143932616009432, 0.6917639795471641, 0.6728520954356474, 0.7613358848235187, 0.7556777491289026, 1.1505027238060446, 0.5845322924501756, 0.5769351089701933, 0.6074679318596335, 0.5922830104827881, 0.5809720193638521, 0.6623062877094045, 0.6347535147386438, 0.6112035197370193]","[0.3014705882352941, 0.33088235294117646, 0.22058823529411764, 0.5073529411764706, 0.40441176470588236, 0.5735294117647058, 0.5661764705882353, 0.5661764705882353, 0.5955882352941176, 0.5661764705882353, 0.625, 0.6323529411764706, 0.6397058823529411, 0.625, 0.6397058823529411, 0.6029411764705882, 0.6397058823529411, 0.6470588235294118, 0.625, 0.6323529411764706, 0.6397058823529411, 0.6764705882352942, 0.6397058823529411, 0.6617647058823529]",[],[],0.6588986857594936,0.5309937681812481,0.0,False,0.015075067683977357,0.014614270953479433,0.10102301790281343,0.7666666666666667,0.43424372187367194,0.6617647058823529,0.6112035197370193
552,64,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080]",9,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0]","[317, 310, 75, 407]",mutated,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.003997274027073304,0.0,,64,False,xavier_uniform,step,"{'step_size': 20, 'gamma': 0.99}",1933092,"[1.3859407901763916, 1.291252613067627, 1.08146466811498, 0.8140292366345724, 0.6483196271790399, 0.4859183854526944, 0.4335032265495371, 0.4878199694333253, 0.38498120374149747]","[0.25925925925925924, 0.42592592592592593, 0.4444444444444444, 0.6041666666666666, 0.7055555555555556, 0.7666666666666667, 0.7703703703703704, 0.7425925925925926, 0.8037037037037037]","[1.3474510277018827, 1.2377207454513102, 0.9808335514629588, 0.6937469647211187, 0.8475282753215116, 0.8285177297451917, 1.0138863360180574, 0.6325392828268164, 0.7242673968567568]","[0.41911764705882354, 0.4117647058823529, 0.6029411764705882, 0.6470588235294118, 0.6985294117647058, 0.6176470588235294, 0.6176470588235294, 0.6838235294117647, 0.6544117647058824]",[],[],0.6509884610676472,0.52710526820732,0.0,False,0.026437541308658292,0.010049553590499381,0.06709558823529405,0.8037037037037037,0.38498120374149747,0.6544117647058824,0.7242673968567568
832,128,"[54, 108, 216]",2,"[0.1, 0.4]","[481, 480, 410, 147]",mutated,4,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.adam.Adam'>,0.0029799297945666704,1e-05,,128,False,xavier_normal,step,"{'step_size': 20, 'gamma': 0.1, 'T_max': 10}",8560836,"[1.3881678581237793, 1.2828843593597412]","[0.18518518518518517, 0.5555555555555556]","[1.3076237510232365, 1.204743876176722]","[0.5073529411764706, 0.5220588235294118]",[],[],0.0,0.5220588235294118,0.0,False,,,,0.5555555555555556,1.2828843593597412,0.5220588235294118,1.204743876176722
56,256,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",24,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0]","[488, 471, 426, 380, 325, 310, 298, 262, 243, 240, 192, 184, 179, 150, 136, 128, 122, 84, 81, 54, 37, 31, 19]",pyramid,23,<class 'torch.nn.modules.activation.ELU'>,0.1,<class 'torch.optim.adamw.AdamW'>,0.000624028722617916,0.0001,,256,True,xavier_normal,exponential,{'gamma': 0.99},5154912,"[1.4320167303085327, 1.397939920425415, 1.359877586364746, 1.3129893453032881, 1.2319711243664777, 1.0761894438001844, 1.0124054851355375, 0.8652939522707904, 0.7800901651382446, 0.7120711969004737, 0.6186514223063434, 0.5837043503920237, 0.5283392241707554, 0.42983741837519185, 0.4131511647944097, 0.3721682889042077, 0.3845677164969621, 0.32906485760101567, 0.530470690821056, 0.3245418178814429, 0.22740409051378568, 0.25382451762755714, 0.16373246259711408, 0.2322080622944567]","[0.2777777777777778, 0.25, 0.35185185185185186, 0.3819444444444444, 0.4685185185185185, 0.5518518518518518, 0.5925925925925926, 0.6703703703703704, 0.7037037037037037, 0.7222222222222222, 0.7481481481481481, 0.7518518518518519, 0.7666666666666667, 0.8203703703703704, 0.8277777777777777, 0.8574074074074074, 0.8407407407407408, 0.8740740740740741, 0.8037037037037037, 0.8888888888888888, 0.9277777777777778, 0.924074074074074, 0.9574074074074074, 0.9203703703703704]","[1.3817800283432007, 1.3606336116790771, 1.3256679773330688, 1.2062190771102905, 1.0812164545059204, 1.0223267078399658, 0.8862477540969849, 0.8304486870765686, 0.8283801078796387, 0.8089894652366638, 0.7291587591171265, 0.7506563663482666, 0.6429423093795776, 0.7397161722183228, 0.8814654350280762, 1.0066343545913696, 0.9214075207710266, 1.470792531967163, 0.9805927276611328, 0.7065404653549194, 0.9326406717300415, 0.8900064826011658, 1.1903132200241089, 1.5661252737045288]","[0.23529411764705882, 0.3235294117647059, 0.4117647058823529, 0.5220588235294118, 0.5367647058823529, 0.5808823529411765, 0.6102941176470589, 0.6470588235294118, 0.6323529411764706, 0.5882352941176471, 0.6470588235294118, 0.6617647058823529, 0.6617647058823529, 0.6397058823529411, 0.6029411764705882, 0.6397058823529411, 0.5882352941176471, 0.5882352941176471, 0.6029411764705882, 0.6764705882352942, 0.6838235294117647, 0.7132352941176471, 0.6838235294117647, 0.625]",[],[],0.6492669066800593,0.5153945904308492,0.0,False,0.016305685454097957,0.01257441548923491,0.03900255754475712,0.9203703703703704,0.2322080622944567,0.625,1.5661252737045288
