id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,fcst_greater_than_baseline,slope_val_acc,var_val_acc,gap_val_acc,p_sigmoid,p_mc,p_above_goal,last_train_acc,last_train_loss,last_val_acc,last_val_loss
11,128,"[110, 220, 440, 880]",3,"[1, 3, 7]","[99, 97, 97, 96, 95, 93, 92, 86, 78, 71, 69, 64, 61, 60, 55, 50, 46, 35, 30, 23, 17, 7, 7, 6, 5]",pyramid,25,<class 'torch.nn.modules.activation.Tanh'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0655108914701854,0.0,0.95,128,False,xavier_normal,cosine,{'T_max': 50},155375,"[1.488816738128662, 1.329713197187944, 1.031380832195282]","[0.07272727272727272, 0.4409090909090909, 0.7113636363636363]","[1.3469630600312987, 1.1358306231481503, 0.883247216040477]","[0.6787003610108303, 0.6895306859205776, 0.6895306859205776]",[],[],1.0,0.16779747099429843,True,0.001805054151624556,2.6065763922376358e-05,0.005415162454873723,7.021685612203379e-05,0.998,0.6986210650568366,0.7113636363636363,1.031380832195282,0.6895306859205776,0.883247216040477
21,512,"[110, 220, 440, 880]",3,"[1, 2, 3]","[87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87]",constant,15,<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.0002119264966723199,0.0001,,512,True,kaiming_uniform,exponential,{'gamma': 0.9},296625,"[14015.0966796875, 11866.11328125, 8619.6083984375]","[0.39090909090909093, 0.4590909090909091, 0.46136363636363636]","[63.99555206298828, 63.398128509521484, 54.68749237060547]","[0.6534296028880866, 0.6895306859205776, 0.6895306859205776]",[],[],1.0,0.1435927864703602,True,0.018050541516245522,0.0002896195991375139,0.018050541516245522,0.00015131849189177173,0.854,0.5978453955475675,0.46136363636363636,8619.6083984375,0.6895306859205776,54.68749237060547
4,1024,"[110, 220, 440, 880]",3,"[1, 2, 3]","[89, 86, 79, 35, 15, 13, 10]",pyramid,7,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.026084817419894882,0.0001,,1024,True,kaiming_normal,cosine,{'T_max': 100},56500,"[1.4956917762756348, 1.2293548583984375, 1.0473675727844238]","[0.39090909090909093, 0.5545454545454546, 0.6727272727272727]","[1.2108604907989502, 0.8878453969955444, 0.9314446449279785]","[0.6389891696750902, 0.6895306859205776, 0.6750902527075813]",[],[],1.0,0.13552257506095106,True,0.018050541516245522,0.0004518065746545211,0.010830324909747335,0.0001508285233460868,0.806,0.5642452485570039,0.6727272727272727,1.0473675727844238,0.6750902527075813,0.9314446449279785
7,32,"[110, 220, 440, 880]",3,"[4, 11, 25]","[98, 65, 60, 37, 37, 33, 31, 18, 15, 8]",pyramid,10,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.adam.Adam'>,0.052164117530572714,1e-05,,32,True,kaiming_uniform,none,{},98875,"[1.4050307295539162, 1.092509924281727, 0.9059584194963629]","[0.3, 0.5863636363636363, 0.6931818181818182]","[1.0884412057993644, 0.8613782294820792, 0.8125868179307517]","[0.6064981949458483, 0.6895306859205776, 0.6895306859205776]",[],[],1.0,0.11265166593471782,True,0.003953928141653777,0.0015320876794374454,0.041516245487364656,7.574487547534004e-05,0.67,0.46902272346264257,0.6931818181818182,0.9059584194963629,0.6895306859205776,0.8125868179307517
12,128,"[110, 220, 440, 880]",3,"[1, 3, 7]","[72, 62, 62, 72]",hourglass,3,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.00041348319330092163,1e-06,,128,False,kaiming_uniform,cosine,{'T_max': 10},169500,"[1.7763903141021729, 1.717173626206138, 1.5518970966339112]","[0.15454545454545454, 0.19090909090909092, 0.2340909090909091]","[1.448501531397823, 1.3743536192587567, 1.2517610099771823]","[0.26714801444043323, 0.3285198555956679, 0.4620938628158845]",[],[],1.0,0.09786903654718196,True,0.032490974729241874,0.0066236002322749175,0.16425992779783394,0.00025190816279394235,0.582,0.4074755724488381,0.2340909090909091,1.5518970966339112,0.4620938628158845,1.2517610099771823
17,1024,"[110, 220, 440, 880]",3,"[1, 2, 3]","[8, 10, 13, 19, 24, 32, 38, 41, 45, 50, 51, 60, 60, 61, 61, 68, 71, 82, 83, 93, 93]",triangular,21,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.02680569273344529,0.0001,0.8,1024,True,kaiming_normal,step,"{'step_size': 10, 'gamma': 0.9}",240125,"[2.5453062057495117, 1.4702926874160767, 1.392067790031433]","[0.20909090909090908, 0.2409090909090909, 0.47954545454545455]","[1.3676084280014038, 1.3485568761825562, 1.322497010231018]","[0.2527075812274368, 0.27075812274368233, 0.6895306859205776]",[],[],1.0,0.09333997959398592,True,0.21841155234657042,0.040723411834725685,0.4277978339350181,0.021396479460890086,0.546,0.388618943838267,0.47954545454545455,1.392067790031433,0.6895306859205776,1.322497010231018
19,128,"[110, 220, 440, 880]",3,"[1, 3, 7]","[64, 18, 53, 60, 57, 65, 76, 11, 46, 87, 33, 6, 91, 86, 69, 64, 80, 18, 7, 73, 34, 66, 50, 77]",irregular,24,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.adamw.AdamW'>,0.00024371540765642796,1e-05,,128,True,xavier_normal,step,"{'step_size': 10, 'gamma': 0.5}",268375,"[1.4055089950561523, 1.3994000976735896, 1.3880537184801969]","[0.21818181818181817, 0.20909090909090908, 0.25227272727272726]","[1.3924227952957153, 1.384946709075129, 1.3701334881868603]","[0.2527075812274368, 0.2527075812274368, 0.6895306859205776]",[],[],1.0,0.08847755049048209,True,0.07280385078219014,0.04240320550972326,0.43682310469314084,0.0005810921388845247,0.526,0.36837432764166533,0.25227272727272726,1.3880537184801969,0.6895306859205776,1.3701334881868603
2,32,"[110, 220, 440, 880]",3,"[4, 11, 25]","[55, 11, 11, 55]",hourglass,3,<class 'torch.nn.modules.activation.Tanh'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.0021515234499361693,0.0,,32,False,kaiming_normal,none,{},28250,"[1.5008817390962081, 1.3714290575547652, 1.2188085621053522]","[0.19090909090909092, 0.29545454545454547, 0.5068181818181818]","[1.4042459519761563, 1.2690373469776195, 1.0512546068494502]","[0.21299638989169675, 0.5415162454873647, 0.6823104693140795]",[],[],1.0,0.08844182597392997,True,0.022348289496303936,0.03866711268084935,0.30505415162454874,8.529801965470426e-05,0.526,0.3682255894058964,0.5068181818181818,1.2188085621053522,0.6823104693140795,1.0512546068494502
24,512,"[110, 220, 440, 880]",3,"[1, 2, 3]","[93, 79, 51, 28, 7, 28, 51, 79, 93]",hourglass,8,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.045142268598243634,0.0001,,512,False,xavier_uniform,step,"{'step_size': 10, 'gamma': 0.5}",339000,"[1.402836799621582, 35677188.0, 9.124921798706055]","[0.2727272727272727, 0.7090909090909091, 0.3613636363636364]","[28892296.0, 1.2065038681030273, 0.9238212704658508]","[0.6895306859205776, 0.2527075812274368, 0.6895306859205776]",[],[],0.9387806859205776,0.0722959100905955,False,0.0,0.04240320550972326,0.2184115523465704,8.083906525853026e-06,0.43,0.30100242517195774,0.3613636363636364,9.124921798706055,0.6895306859205776,0.9238212704658508
15,1024,"[110, 220, 440, 880]",3,"[1, 2, 3]","[99, 99, 95, 54, 47, 27, 26, 24, 17, 24, 26, 27, 47, 54, 95, 99, 99]",hourglass,16,<class 'torch.nn.modules.activation.GELU'>,0.3,<class 'torch.optim.sgd.SGD'>,0.02579930544955364,1e-05,0.9,1024,True,kaiming_uniform,cosine,{'T_max': 10},211875,"[16.87535285949707, 30.547016143798828, 1.8344980478286743]","[0.20909090909090908, 0.7045454545454546, 0.6590909090909091]","[1.201335072517395, 1.157016396522522, 1.0327836275100708]","[0.6895306859205776, 0.6895306859205776, 0.6895306859205776]",[],[],0.9387806859205776,1.360162715728013e-06,False,0.0,0.0,0.0,1.8876700508799398e-05,0.0,5.66301015263982e-06,0.6590909090909091,1.8344980478286743,0.6895306859205776,1.0327836275100708
