id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc,p_sigmoid,p_mc,p_above_goal
3,128,"[44, 88]",1,[1],"[100, 92, 90, 80, 70, 68, 61, 56, 51, 50, 46, 46, 45, 43, 41, 33, 24, 22, 16, 16, 5, 3]",pyramid,22,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.00013816103185302256,0.01,,128,False,xavier_normal,none,{},42375,[0.7732505202293396],[0.5],[0.7551628351211548],[0.43243243243243246],[],[],0.5824324324324325,0.00030038543374222374,False,0.5,0.7732505202293396,0.43243243243243246,0.7551628351211548,0.0,0.0,0.0,1.0893573953964049e-07,0.0,3.2680721861892155e-08
10,512,"[44, 88]",1,[1],"[7, 34, 50, 52, 53, 58, 64, 68, 69, 69, 71, 75, 76, 88, 88, 89, 97]",inv_pyramid,17,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.007435141295848892,0.01,,512,False,kaiming_uniform,cosine,{'T_max': 50},141250,[14.567855834960938],[0.4090909090909091],[3.6225922107696533],[0.43243243243243246],[],[],0.5824324324324325,0.00030038543374222374,False,0.4090909090909091,14.567855834960938,0.43243243243243246,3.6225922107696533,0.0,0.0,0.0,1.0893573953964049e-07,0.0,3.2680721861892155e-08
17,1024,"[44, 88]",1,[1],"[8, 10, 13, 19, 24, 32, 38, 41, 45, 50, 51, 60, 60, 61, 61, 68, 71, 82, 83, 93, 93]",triangular,21,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.02680569273344529,0.0001,0.8,1024,True,kaiming_normal,step,"{'step_size': 10, 'gamma': 0.9}",240125,[1.0738223791122437],[0.4318181818181818],[1.2162604331970215],[0.42342342342342343],[],[],0.5734234234234235,0.0,False,0.4318181818181818,1.0738223791122437,0.42342342342342343,1.2162604331970215,0.0,0.0,0.0,9.097438985000166e-08,0.0,2.7292316955000503e-08
19,128,"[44, 88, 176]",2,"[1, 2]","[64, 18, 53, 60, 57, 65, 76, 11, 46, 87, 33, 6, 91, 86, 69, 64, 80, 18, 7, 73, 34, 66, 50, 77]",irregular,24,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.adamw.AdamW'>,0.00024371540765642796,1e-05,,128,True,xavier_normal,step,"{'step_size': 10, 'gamma': 0.5}",268375,"[0.7048335671424866, 0.70021653175354]","[0.36363636363636365, 0.45454545454545453]","[0.6936702132225037, 0.6934876441955566]","[0.43243243243243246, 0.43243243243243246]",[],[],0.5824324324324325,7.696429186972778e-09,False,0.45454545454545453,0.70021653175354,0.43243243243243246,0.6934876441955566,0.0,0.0,0.0,1.0893573953964049e-07,0.0,3.2680721861892155e-08
8,512,"[44, 88, 176]",2,"[1, 2]","[90, 78, 68, 57, 56, 48, 40, 34, 28, 27, 16, 16, 27, 28, 34, 40, 48, 56, 57, 68, 78, 90]",hourglass,21,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.rmsprop.RMSprop'>,0.001559044554898602,0.001,,512,False,xavier_normal,step,"{'step_size': 5, 'gamma': 0.1}",113000,"[0.7280312180519104, 1.038949728012085]","[0.45454545454545453, 0.5568181818181818]","[1.0132042169570923, 0.6971477270126343]","[0.5675675675675675, 0.43243243243243246]",[],[],0.5824324324324325,7.696429186972778e-09,False,0.5568181818181818,1.038949728012085,0.43243243243243246,0.6971477270126343,0.0,0.0,0.0,1.0893573953964049e-07,0.0,3.2680721861892155e-08
23,256,"[44, 88, 176]",2,"[1, 2]","[88, 75, 74, 48, 42, 29, 42, 48, 74, 75, 88]",hourglass,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adamw.AdamW'>,0.0002736146538133412,1e-05,,256,True,kaiming_uniform,none,{},324875,"[0.9045525193214417, 0.8946546316146851]","[0.45454545454545453, 0.4431818181818182]","[0.8987565636634827, 0.8846935033798218]","[0.43243243243243246, 0.43243243243243246]",[],[],0.5824324324324325,7.696429186972778e-09,False,0.4431818181818182,0.8946546316146851,0.43243243243243246,0.8846935033798218,0.0,0.0,0.0,1.0893573953964049e-07,0.0,3.2680721861892155e-08
6,1024,"[44, 88, 176]",2,"[1, 2]","[73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73]",constant,22,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.0001431923924022744,0.01,,1024,True,xavier_uniform,exponential,{'gamma': 0.99},84750,"[3183.9111328125, 3787.15380859375]","[0.5681818181818182, 0.4659090909090909]","[1.3529670238494873, 1.871509075164795]","[0.45045045045045046, 0.42342342342342343]",[],[],0.5734234234234235,0.0,False,0.4659090909090909,3787.15380859375,0.42342342342342343,1.871509075164795,0.0,0.0,0.0,9.097438985000166e-08,0.0,2.7292316955000503e-08
0,512,"[44, 88, 176, 352]",3,"[1, 2, 3]","[68, 65, 64, 54, 48, 41, 36, 8, 36, 41, 48, 54, 64, 65, 68]",hourglass,14,<class 'torch.nn.modules.activation.ELU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0007006700163436125,0.0,0.95,512,True,kaiming_uniform,step,"{'step_size': 5, 'gamma': 0.9}",0,"[1.0339807271957397, 0.9076806902885437, 0.9548686742782593]","[0.45454545454545453, 0.48863636363636365, 0.5170454545454546]","[0.823761522769928, 0.8179047703742981, 0.8037643432617188]","[0.45045045045045046, 0.4594594594594595, 0.4864864864864865]",[],[],1.0,0.14971890751231076,True,0.5170454545454546,0.9548686742782593,0.4864864864864865,0.8037643432617188,0.01801801801801803,0.00023446870293717162,0.03153153153153154,0.00108581723338993,1.0,0.7003257451700169
1,32,"[44, 88, 176, 352]",3,"[2, 5, 11]","[28, 23, 17, 17, 23, 28]",hourglass,5,<class 'torch.nn.modules.activation.GELU'>,0.4,<class 'torch.optim.adam.Adam'>,0.03903304514522225,1e-06,,32,True,kaiming_uniform,exponential,{'gamma': 0.99},14125,"[1.978486332026395, 1.1101511445912449, 0.8515600724653765]","[0.3409090909090909, 0.5113636363636364, 0.5113636363636364]","[0.6859471239485182, 0.68763234056868, 0.6584473692619048]","[0.4954954954954955, 0.5855855855855856, 0.5945945945945946]",[],[],1.0,0.14939851342275431,True,0.5113636363636364,0.8515600724653765,0.5945945945945946,0.6584473692619048,0.011011011011011016,0.0020020020020020033,0.05405405405405406,0.000756895309177003,0.998,0.6988270685927531
5,512,"[44, 88, 176, 352]",3,"[1, 2, 3]","[83, 50, 26, 17]",pyramid,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,512,True,kaiming_normal,none,{},70625,"[0.7940277457237244, 0.7908546924591064, 0.495876669883728]","[0.5681818181818182, 0.6477272727272727, 0.75]","[0.5436552166938782, 0.4598623812198639, 0.4232444763183594]","[0.7297297297297297, 0.8378378378378378, 0.8378378378378378]",[],[],1.0,0.14815212030304645,True,0.75,0.495876669883728,0.8378378378378378,0.4232444763183594,0.05405405405405406,0.002597191786380976,0.05405405405405406,0.004656451767340237,0.988,0.692996935530202
14,1024,"[44, 88, 176, 352]",3,"[1, 2, 3]","[4, 5, 24, 30, 32, 34, 41, 53, 62, 68, 69, 74, 79, 85, 86, 87, 89, 95, 96]",triangular,19,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.06903233505484939,1e-05,0.99,1024,False,kaiming_normal,cosine,{'T_max': 50},197750,"[16.155902862548828, 2265686.25, nan]","[0.5, 0.5, 0.5568181818181818]","[2545825.5, nan, nan]","[0.43243243243243246, 0.5675675675675675, 0.5675675675675675]",[],[],1.0,0.14294231768663265,True,0.5568181818181818,,0.5675675675675675,,0.06756756756756754,0.00405811216622027,0.06756756756756754,0.0074251451994789995,0.952,0.6686275435598436
