id,batch_size,n_instances,epochs_trained,batches_trained,efforts,cumulative_effort,cumulative_times,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_rng_state,train_loss,train_acc,val_loss,val_acc,forecasted_val_acc,score,fcst_greater_than_baseline,wall_times_per_batch,epoch_batches,last_train_acc,last_train_loss,last_val_acc,last_val_loss,total_epoch_time,avg_epoch_time,forecast_horizon_time,forecast_horizon_effort,forecast_CI_low,forecast_CI_high
1,1024,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[83, 86, 9, 82, 95, 28, 19, 10, 81, 95, 62, 63, 80, 3, 84, 92, 15, 99, 86, 31, 49, 82, 91]",irregular,23,<class 'torch.nn.modules.activation.ReLU'>,0.3,<class 'torch.optim.sgd.SGD'>,0.0283864657546653,0.001,0.9,1024,False,kaiming_normal,step,"{'step_size': 30, 'gamma': 0.9}",None,"[17.523576736450195, 54.95695495605469, 7.105538845062256]","[0.2978723347187042, 0.42748090624809265, 0.4262295067310333]","[2.48573899269104, 2.115018844604492, 1.1239439249038696]","[0.4279661016949153, 0.4279661016949153, 0.4279661016949153]",0.47796610169491527,0.0,False,"[0.12903094291687012, 0.008000850677490234, 0.0049991607666015625]","[1, 1, 1, 1, 1, 1]",0.4262295067310333,7.105538845062256,0.4279661016949153,1.1239439249038696,0.0,0.0,,,,
2,512,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[5, 27, 30, 33, 38, 40, 40, 41, 55, 65, 75, 79, 98, 100]",inv_pyramid,14,<class 'torch.nn.modules.activation.GELU'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.00022491049506993151,0.01,,512,True,xavier_uniform,cosine,{'T_max': 50},None,"[1.1110427379608154, 1.1068891286849976, 1.1038503646850586]","[0.22340424358844757, 0.22900763154029846, 0.2295081913471222]","[1.1068247556686401, 1.1045550107955933, 1.1026272773742676]","[0.2245762711864407, 0.2245762711864407, 0.2245762711864407]",0.2745762711864407,0.0,False,"[0.026508808135986328, 0.005011081695556641, 0.0030012130737304688]","[1, 1, 1, 1, 1, 1]",0.2295081913471222,1.1038503646850586,0.2245762711864407,1.1026272773742676,0.0,0.0,,,,
3,512,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[57, 26, 56, 9, 8, 13, 75, 90, 34, 11, 10, 15, 96, 18, 67, 63, 47, 49, 74]",irregular,19,<class 'torch.nn.modules.activation.ELU'>,0.2,<class 'torch.optim.rmsprop.RMSprop'>,0.0065123789538270825,0.0,,512,False,xavier_normal,cosine,{'T_max': 100},None,"[1.109409213066101, 2.1143875122070312, 2.2854888439178467]","[0.28723403811454773, 0.3129771053791046, 0.38797813653945923]","[1.75657320022583, 1.2482378482818604, 2.367032527923584]","[0.3177966101694915, 0.423728813559322, 0.2245762711864407]",0.2745762711864407,0.0,False,"[0.0070037841796875, 0.0049970149993896484, 0.004999399185180664]","[1, 1, 1, 1, 1, 1]",0.38797813653945923,2.2854888439178467,0.2245762711864407,2.367032527923584,0.0,0.0,,,,
4,512,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[95, 94, 93, 88, 80, 79, 78, 72, 67, 54, 54, 39, 33, 29, 18]",pyramid,15,<class 'torch.nn.modules.activation.ELU'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.00010115663745876392,1e-05,,512,True,xavier_uniform,exponential,{'gamma': 0.9},None,"[1.1752585172653198, 1.2318423986434937, 1.1995621919631958]","[0.3191489279270172, 0.35114502906799316, 0.36612021923065186]","[1.1988155841827393, 1.1847035884857178, 1.1694484949111938]","[0.2245762711864407, 0.2245762711864407, 0.2245762711864407]",0.2745762711864407,0.0,False,"[0.004998445510864258, 0.0059986114501953125, 0.006000041961669922]","[1, 1, 1, 1, 1, 1]",0.36612021923065186,1.1995621919631958,0.2245762711864407,1.1694484949111938,0.0,0.0,,,,
5,512,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[93, 92, 90, 83, 80, 75, 74, 69, 68, 61, 54, 51, 48, 44, 34, 33, 32, 29, 24, 23, 21, 19, 18, 8, 6]",pyramid,25,<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.rmsprop.RMSprop'>,0.030937497074812127,0.001,,512,True,kaiming_uniform,cosine,{'T_max': 100},None,"[1.5760046243667603, 15262294016.0, 5907.31982421875]","[0.3617021143436432, 0.4198473393917084, 0.30054643750190735]","[4617895936.0, 375.4864501953125, 97.39447021484375]","[0.4279661016949153, 0.2245762711864407, 0.3474576271186441]",0.3974576271186441,0.0,False,"[0.006154537200927734, 0.009997367858886719, 0.0060007572174072266]","[1, 1, 1, 1, 1, 1]",0.30054643750190735,5907.31982421875,0.3474576271186441,97.39447021484375,0.0,0.0,,,,
6,1024,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[99, 87, 82, 52, 52, 49, 42, 34, 12, 3]",pyramid,10,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.022166890699637547,0.01,0.95,1024,False,xavier_uniform,exponential,{'gamma': 0.95},None,"[1.0746015310287476, 1.0824159383773804, 1.078851580619812]","[0.42553189396858215, 0.42748090624809265, 0.4262295067310333]","[1.0803208351135254, 1.0799719095230103, 1.0794748067855835]","[0.4279661016949153, 0.4279661016949153, 0.4279661016949153]",0.47796610169491527,0.0,False,"[0.0030002593994140625, 0.0029997825622558594, 0.003998517990112305]","[1, 1, 1, 1, 1, 1]",0.4262295067310333,1.078851580619812,0.4279661016949153,1.0794748067855835,0.0,0.0,,,,
7,256,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[5, 6, 11, 24, 31, 36, 39, 41, 48, 48, 50, 55, 76, 77, 78, 81, 85, 93]",inv_pyramid,18,<class 'torch.nn.modules.activation.LeakyReLU'>,0.3,<class 'torch.optim.adamw.AdamW'>,0.0015815312297035665,1e-05,,256,False,kaiming_normal,cosine,{'T_max': 50},None,"[6.20011043548584, 3.226118326187134, 4.4466233253479]","[0.24468083679676056, 0.3435114622116089, 0.3333333134651184]","[1.1378430128097534, 1.0941451787948608, 1.0760821104049683]","[0.2711864406779661, 0.423728813559322, 0.4279661016949153]",0.47796610169491527,0.0,False,"[0.013000249862670898, 0.005000114440917969, 0.0060002803802490234]","[1, 1, 1, 1, 1, 1]",0.3333333134651184,4.4466233253479,0.4279661016949153,1.0760821104049683,0.0,0.0,,,,
8,512,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[43, 30, 6, 30, 43]",hourglass,4,<class 'torch.nn.modules.activation.ELU'>,0.3,<class 'torch.optim.adamw.AdamW'>,0.013332225454503549,0.0001,,512,False,xavier_normal,exponential,{'gamma': 0.9},None,"[1.1294491291046143, 1.0287518501281738, 1.0826126337051392]","[0.3404255211353302, 0.442748099565506, 0.40437155961990356]","[1.05652916431427, 1.0513639450073242, 1.0328645706176758]","[0.4194915254237288, 0.4322033898305085, 0.4194915254237288]",0.4694915254237288,0.0,False,"[0.0019996166229248047, 0.0029976367950439453, 0.003011465072631836]","[1, 1, 1, 1, 1, 1]",0.40437155961990356,1.0826126337051392,0.4194915254237288,1.0328645706176758,0.0,0.0,,,,
9,32,"[94, 131, 183, 256]",3,14,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","[3, 20, 28, 36, 48, 49, 55, 58, 65, 77, 87, 90, 91, 91, 92, 95]",inv_pyramid,16,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.005597903939882154,1e-05,,32,False,xavier_uniform,exponential,{'gamma': 0.95},None,"[1.1324210166931152, 1.1102969646453857, 3.974820613861084, 1.690331220626831, 6.75546932220459, 1.762170433998108, 1.8759331703186035, 0.8816002011299133, 1.915292501449585, 1.3726595640182495, 1.3044188022613525, 1.1665362119674683, 1.0915956497192383, 1.1346359252929688]","[0.40625, 0.375, 0.36666667461395264, 0.34375, 0.28125, 0.34375, 0.40625, 0.6666666865348816, 0.34375, 0.15625, 0.4375, 0.375, 0.46875, 0.3913043439388275]","[1.0938324382749653, 1.1054565320580692, 1.0797301530838013, 1.186078275664378, 1.1413559832815396, 1.0913310556088465, 1.099624924740549, 1.4257505687616638, 1.0890439425484608, 1.0699175899311648, 1.0800350459955506, 1.0667606955867703, 1.0948299088720548, 1.0697773371712636]","[0.3474576271186441, 0.3516949152542373, 0.4279661016949153, 0.4279661016949153, 0.3474576271186441, 0.4279661016949153, 0.3474576271186441, 0.3474576271186441, 0.4279661016949153, 0.4279661016949153, 0.3474576271186441, 0.4279661016949153, 0.3474576271186441, 0.4279661016949153]",0.3980686778452966,0.0,False,"[0.004997968673706055, 0.0040013790130615234, 0.0039997100830078125, 0.004999399185180664, 0.00600433349609375, 0.004000186920166016, 0.006000518798828125, 0.0070002079010009766, 0.004000425338745117, 0.0029993057250976562, 0.0029997825622558594, 0.003000020980834961, 0.0029990673065185547, 0.004000186920166016]","[3, 3, 5, 5, 6, 6]",0.3913043439388275,1.1346359252929688,0.4279661016949153,1.0697773371712636,0.0,0.0,3014.0,3014.0,0.3023259883091291,0.4938113673814641
10,256,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[7, 45, 75, 85, 28, 42, 8, 10, 20, 17, 76, 41, 92, 19, 78, 37, 30, 31, 51, 90, 14, 59, 44, 63, 28]",irregular,25,<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adamw.AdamW'>,0.06097624209513673,1e-06,,256,False,kaiming_uniform,exponential,{'gamma': 0.9},None,"[1.186264157295227, 36.089786529541016, 1.307631492614746]","[0.41489359736442566, 0.3435114622116089, 0.4262295067310333]","[38.97011947631836, 1.3396152257919312, 1.1838252544403076]","[0.3474576271186441, 0.4279661016949153, 0.3474576271186441]",0.3974576271186441,0.0,False,"[0.006997346878051758, 0.008502006530761719, 0.003998994827270508]","[1, 1, 1, 1, 1, 1]",0.4262295067310333,1.307631492614746,0.3474576271186441,1.1838252544403076,0.0,0.0,,,,
