id,batch_size,n_instances,epochs_trained,batches_trained,efforts,cumulative_effort,cumulative_times,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_rng_state,train_loss,train_acc,val_loss,val_acc,forecasted_val_acc,score,fcst_greater_than_baseline,wall_times_per_batch,epoch_batches,forecast_horizon_time,forecast_horizon_effort,forecast_CI_low,forecast_CI_high,last_train_acc,last_train_loss,last_val_acc,last_val_loss,total_epoch_time,avg_epoch_time
1,1024,"[54, 75, 105, 147, 205, 287]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[83, 86, 9, 82, 95, 28, 19, 10, 81, 95, 62, 63, 80, 3, 84, 92, 15, 99, 86, 31, 49, 82, 91]",irregular,23,<class 'torch.nn.modules.activation.ReLU'>,0.3,<class 'torch.optim.sgd.SGD'>,0.0283864657546653,0.001,0.9,1024,False,kaiming_normal,step,"{'step_size': 30, 'gamma': 0.9}",None,"[5.384905815124512, 1.7080094814300537, 2.203606367111206, 1.9221959114074707, 1.704283595085144]","[0.31481480598449707, 0.25333333015441895, 0.2666666805744171, 0.26530611515045166, 0.2487804889678955]","[1.406327486038208, 1.472486972808838, 1.468001365661621, 1.4190679788589478, 1.4042028188705444]","[0.25735294117647056, 0.25735294117647056, 0.25735294117647056, 0.25735294117647056, 0.25735294117647056]",0.24811537251459348,0.0,False,"[0.006508588790893555, 0.005999565124511719, 0.00999760627746582, 0.004999399185180664, 0.006506919860839844]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.1395976110084064,0.35663313402078056,0.2487804889678955,1.704283595085144,0.25735294117647056,1.4042028188705444,0.0,0.0
2,512,"[54, 75, 105, 147, 205, 287]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[5, 27, 30, 33, 38, 40, 40, 41, 55, 65, 75, 79, 98, 100]",inv_pyramid,14,<class 'torch.nn.modules.activation.GELU'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.00022491049506993151,0.01,,512,True,xavier_uniform,cosine,{'T_max': 50},None,"[1.3909980058670044, 1.3901638984680176, 1.3892372846603394, 1.3880290985107422, 1.3881393671035767]","[0.25925925374031067, 0.25333333015441895, 0.24761906266212463, 0.2448979616165161, 0.2536585330963135]","[1.3884742259979248, 1.3882380723953247, 1.387998104095459, 1.3877886533737183, 1.3876397609710693]","[0.25735294117647056, 0.25735294117647056, 0.25735294117647056, 0.25735294117647056, 0.25735294117647056]",0.24811537251459348,0.0,False,"[0.004999637603759766, 0.006213188171386719, 0.0039997100830078125, 0.003998994827270508, 0.004000186920166016]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.1395976110084064,0.35663313402078056,0.2536585330963135,1.3881393671035767,0.25735294117647056,1.3876397609710693,0.0,0.0
3,512,"[54, 75, 105, 147, 205, 287]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[57, 26, 56, 9, 8, 13, 75, 90, 34, 11, 10, 15, 96, 18, 67, 63, 47, 49, 74]",irregular,19,<class 'torch.nn.modules.activation.ELU'>,0.2,<class 'torch.optim.rmsprop.RMSprop'>,0.0065123789538270825,0.0,,512,False,xavier_normal,cosine,{'T_max': 100},None,"[1.3998627662658691, 4.2002105712890625, 2.327639579772949, 2.672375440597534, 2.5562868118286133]","[0.2222222238779068, 0.18666666746139526, 0.24761906266212463, 0.2789115607738495, 0.27317073941230774]","[2.945124626159668, 1.9123979806900024, 2.2601566314697266, 2.0055859088897705, 1.7250913381576538]","[0.16911764705882354, 0.3014705882352941, 0.27205882352941174, 0.23529411764705882, 0.25]",0.2496338734188742,0.0,False,"[0.0055081844329833984, 0.005998849868774414, 0.00400090217590332, 0.005003452301025391, 0.006508350372314453]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.1268710542557167,0.3723966925820317,0.27317073941230774,2.5562868118286133,0.25,1.7250913381576538,0.0,0.0
4,512,"[54, 75, 105, 147, 205, 287]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[95, 94, 93, 88, 80, 79, 78, 72, 67, 54, 54, 39, 33, 29, 18]",pyramid,15,<class 'torch.nn.modules.activation.ELU'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.00010115663745876392,1e-05,,512,True,xavier_uniform,exponential,{'gamma': 0.9},None,"[1.4457396268844604, 1.3937159776687622, 1.4704300165176392, 1.457689881324768, 1.4698486328125]","[0.2777777910232544, 0.30666667222976685, 0.2571428716182709, 0.2857142686843872, 0.24390244483947754]","[1.3958593606948853, 1.3901455402374268, 1.3886734247207642, 1.3868308067321777, 1.3863098621368408]","[0.25735294117647056, 0.25735294117647056, 0.25735294117647056, 0.25735294117647056, 0.25735294117647056]",0.24811537251459348,0.0,False,"[0.005000114440917969, 0.007503986358642578, 0.004000425338745117, 0.003998279571533203, 0.004998922348022461]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.1395976110084064,0.35663313402078056,0.24390244483947754,1.4698486328125,0.25735294117647056,1.3863098621368408,0.0,0.0
5,512,"[54, 75, 105, 147, 205, 287]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[93, 92, 90, 83, 80, 75, 74, 69, 68, 61, 54, 51, 48, 44, 34, 33, 32, 29, 24, 23, 21, 19, 18, 8, 6]",pyramid,25,<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.rmsprop.RMSprop'>,0.030937497074812127,0.001,,512,True,kaiming_uniform,cosine,{'T_max': 100},None,"[3.2295782566070557, 6424792064.0, 5215.3095703125, 717.0336303710938, 1178.861328125]","[0.2222222238779068, 0.29333335161209106, 0.2571428716182709, 0.22448979318141937, 0.2536585330963135]","[1968644864.0, 578.2550048828125, 9.475406646728516, 1.4217381477355957, 1.4039223194122314]","[0.25735294117647056, 0.25735294117647056, 0.25735294117647056, 0.25, 0.25]",0.24257364129692377,0.0,False,"[0.006997823715209961, 0.008001089096069336, 0.005506038665771484, 0.007000923156738281, 0.008506536483764648]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.1321757483511656,0.3529715342426819,0.2536585330963135,1178.861328125,0.25,1.4039223194122314,0.0,0.0
6,1024,"[54, 75, 105, 147, 205, 287]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[99, 87, 82, 52, 52, 49, 42, 34, 12, 3]",pyramid,10,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.022166890699637547,0.01,0.95,1024,False,xavier_uniform,exponential,{'gamma': 0.95},None,"[1.3881322145462036, 1.403090238571167, 1.3935872316360474, 1.3997316360473633, 1.3974826335906982]","[0.2777777910232544, 0.2133333384990692, 0.24761906266212463, 0.2312925159931183, 0.25853657722473145]","[1.397756576538086, 1.397507667541504, 1.3971441984176636, 1.396679401397705, 1.396122694015503]","[0.22794117647058823, 0.22794117647058823, 0.23529411764705882, 0.25, 0.25735294117647056]",0.24200267784565507,0.0,False,"[0.0035066604614257812, 0.004002094268798828, 0.0029993057250976562, 0.0030019283294677734, 0.0029990673065185547]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.14891323812980156,0.3350921175615086,0.25853657722473145,1.3974826335906982,0.25735294117647056,1.396122694015503,0.0,0.0
7,256,"[54, 75, 105, 147, 205, 287]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[5, 6, 11, 24, 31, 36, 39, 41, 48, 48, 50, 55, 76, 77, 78, 81, 85, 93]",inv_pyramid,18,<class 'torch.nn.modules.activation.LeakyReLU'>,0.3,<class 'torch.optim.adamw.AdamW'>,0.0015815312297035665,1e-05,,256,False,kaiming_normal,cosine,{'T_max': 50},None,"[20.46010398864746, 23.898494720458984, 8.67656135559082, 11.335976600646973, 7.409264087677002]","[0.35185185074806213, 0.2666666805744171, 0.2666666805744171, 0.2448979616165161, 0.18536585569381714]","[1.6132502555847168, 1.5638617277145386, 1.5517150163650513, 1.5190038681030273, 1.4813361167907715]","[0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.2426470588235294]",0.22926556681597302,0.0,False,"[0.00599980354309082, 0.005999565124511719, 0.004506349563598633, 0.005000114440917969, 0.00599980354309082]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.1314398838237245,0.3270912498082215,0.18536585569381714,7.409264087677002,0.2426470588235294,1.4813361167907715,0.0,0.0
8,512,"[54, 75, 105, 147, 205, 287]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[43, 30, 6, 30, 43]",hourglass,4,<class 'torch.nn.modules.activation.ELU'>,0.3,<class 'torch.optim.adamw.AdamW'>,0.013332225454503549,0.0001,,512,False,xavier_normal,exponential,{'gamma': 0.9},None,"[1.4451431035995483, 1.3696701526641846, 1.3351705074310303, 1.2798612117767334, 1.245693564414978]","[0.29629629850387573, 0.3199999928474426, 0.37142857909202576, 0.39455780386924744, 0.3951219618320465]","[1.3201395273208618, 1.2660129070281982, 1.2498739957809448, 1.2272852659225464, 1.2104299068450928]","[0.3235294117647059, 0.38235294117647056, 0.4338235294117647, 0.45588235294117646, 0.4338235294117647]",0.4458806312306214,0.0,False,"[0.002998828887939453, 0.0029997825622558594, 0.002000570297241211, 0.002501249313354492, 0.0019981861114501953]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.27400504122041053,0.6177562212408323,0.3951219618320465,1.245693564414978,0.4338235294117647,1.2104299068450928,0.0,0.0
9,32,"[54, 75, 105, 147, 205, 287]",5,21,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0]","[3, 20, 28, 36, 48, 49, 55, 58, 65, 77, 87, 90, 91, 91, 92, 95]",inv_pyramid,16,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.005597903939882154,1e-05,,32,False,xavier_uniform,exponential,{'gamma': 0.95},None,"[1.4585903882980347, 9.810235023498535, 1.3931607007980347, 1.6524847745895386, 2.2969305515289307, 1.4136688709259033, 1.7780336141586304, 2.0149435997009277, 1.6452170610427856, 1.5103237628936768, 2.022808790206909, 1.390895128250122, 1.4584825038909912, 1.3661595582962036, 1.525688886642456, 1.4571937322616577, 1.4845421314239502, 1.4545316696166992, 1.4003698825836182, 1.5121930837631226, 1.4397741556167603]","[0.3125, 0.27272728085517883, 0.28125, 0.3125, 0.0, 0.34375, 0.46875, 0.21875, 0.2222222238779068, 0.21875, 0.21875, 0.1875, 0.25, 0.42105263471603394, 0.25, 0.21875, 0.21875, 0.1875, 0.25, 0.1875, 0.23076924681663513]","[1.5141213921939625, 1.3954034342485315, 1.5309135913848877, 1.4055523802252377, 1.4151271020664888, 1.4316185362198774, 1.4598940891378067, 1.4006210425320793, 1.3996675715726965, 1.3987932976554422, 1.392419324201696, 1.3961299166959875, 1.3906378395417158, 1.3984532216015984, 1.388024792951696, 1.3910229486577652, 1.3869329901302563, 1.3865919393651627, 1.3857433445313398, 1.3944978924358593, 1.3891652682248283]","[0.27205882352941174, 0.25, 0.25, 0.25735294117647056, 0.25735294117647056, 0.25735294117647056, 0.25, 0.23529411764705882, 0.25735294117647056, 0.25735294117647056, 0.25735294117647056, 0.25, 0.25735294117647056, 0.25735294117647056, 0.25735294117647056, 0.25, 0.25735294117647056, 0.25, 0.25735294117647056, 0.23529411764705882, 0.23529411764705882]",0.2534948151956985,0.0,False,"[0.005999326705932617, 0.004001617431640625, 0.006509304046630859, 0.004000186920166016, 0.004999637603759766, 0.003998756408691406, 0.0039997100830078125, 0.003505706787109375, 0.005000114440917969, 0.00500035285949707, 0.004002571105957031, 0.004023551940917969, 0.004000186920166016, 0.005002021789550781, 0.004998207092285156, 0.004504680633544922, 0.004995822906494141, 0.00500035285949707, 0.004001617431640625, 0.00500035285949707, 0.0049991607666015625]","[2, 2, 3, 3, 4, 4, 5, 5, 7, 7]",1071,1071,0.2035731377199112,0.3034164926714858,0.23076924681663513,1.4397741556167603,0.23529411764705882,1.3891652682248283,0.0,0.0
10,256,"[54, 75, 105, 147, 205, 287]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[7, 45, 75, 85, 28, 42, 8, 10, 20, 17, 76, 41, 92, 19, 78, 37, 30, 31, 51, 90, 14, 59, 44, 63, 28]",irregular,25,<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adamw.AdamW'>,0.06097624209513673,1e-06,,256,False,kaiming_uniform,exponential,{'gamma': 0.9},None,"[1.4163416624069214, 29.719736099243164, 18.469825744628906, 1.9311778545379639, 24.239917755126953]","[0.24074074625968933, 0.25333333015441895, 0.2380952537059784, 0.25850340723991394, 0.2536585330963135]","[29.19878578186035, 17.969440460205078, 1.9292495250701904, 22.842615127563477, 1.5143641233444214]","[0.25735294117647056, 0.23529411764705882, 0.25735294117647056, 0.25735294117647056, 0.25]",0.2455773013009236,0.0,False,"[0.007505893707275391, 0.006001472473144531, 0.004996299743652344, 0.006506443023681641, 0.007000923156738281]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.13973966799197318,0.351414934609874,0.2536585330963135,24.239917755126953,0.25,1.5143641233444214,0.0,0.0
